reference,growthform,leafhabit,phylogeny,Family,Species,treesmeasured,delta13C,delta13Cair,delta13CairA,deltaleaf,locationmean,latitudeE,longitudeN,location,continent,altitude,MAP,P-JJA,MAT,T-JJA,VPD,PET,percentsun,Continentality,frostfreedays,BiomeK,BiomeL
Hemming et al. (37),Tree,D,A,Fagaceae,Fagus_sylvatica,1,,,M,24.05,,55,11.6,Denmark ,EU,42,510,169.98,9,16.6,4.9,595.2,36.8,13.5,18,CCMF,CCF
Hemming et al. (37),Tree,E,G,Pinaceae,Picea_abies,1,,,M,19.15,,50.9,13.5,Germany B,EU,380,820,251.46,8.6,17.6,6.93,673.6,35.2,20.6,24,CCMF,CCF
Hemming et al. (37),Tree,E,G,Pinaceae,Pinus_halpensis,1,,,M,15.05,,31.2,35,Israel ,AS,680,275,0,20.1,26.1,16.32,1498.2,72.5,30.7,3,XWS,XWS
Sandquist and Cordell (38),Tree,E,A,Rhamnaceae,Colubrina_oppositifolia,5,-25.14,-8.05,E,17.53,19.02,19.77,-155.93,HI USA ,OC,650,487.1,,19.7,19.1,6.32,564.5,21.8,-8.4,0,TDF,TDF
Sandquist and Cordell (38),Tree,E,A,Ebenaceae,Diospyros_sandwicensis,8,-27.135,-8.05,E,19.62,,19.77,-155.93,HI USA ,OC,650,487.1,,19.7,19.1,6.32,564.5,21.8,-8.4,0,TDF,TDF
Sandquist and Cordell (38),Tree,E,A,Myrtaceae,Metrosideros_polymorpha,3,-28.1,-8.05,E,20.63,,19.77,-155.93,HI USA ,OC,650,487.1,,19.7,19.1,6.32,564.5,21.8,-8.4,0,TDF,TDF
Sandquist and Cordell (38),Tree,E,A,Sapotaceae,Pouteria_sandwicensis,5,-27.095,-8.05,E,19.58,,19.77,-155.93,HI USA ,OC,650,487.1,,19.7,19.1,6.32,564.5,21.8,-8.4,0,TDF,TDF
Sandquist and Cordell (38),Tree,E,A,Rubiaceae,Psydrax_odorata,5,-25.825,-8.05,E,18.25,,19.77,-155.93,HI USA ,OC,650,487.1,,19.7,19.1,6.32,564.5,21.8,-8.4,0,TDF,TDF
Sandquist and Cordell (38),Tree,E,A,Santalaceae,Santalum_paniculatum,5,-26.065,-8.05,E,18.5,,19.77,-155.93,HI USA ,OC,650,487.1,,19.7,19.1,6.32,564.5,21.8,-8.4,0,TDF,TDF
Dodd et al. (39),Tree,D,A,Salicaceae,Populus_sargentii,5,-28.46,-7.88,E,21.18,,40.85,-104.72,CO USA ,NAm,1650,370.5,145.71,9.1,19.9,11.14,1286.6,66.3,44.5,44,,
Williams and Ehleringer (40),Tree,D,A,Fagaceae,Quercus_gambelii,12,,,E,18.2,,37.52,-113.33,UT USA B,NAm,1798,474.13,85.66,9.4,19.8,16.2,1574.9,70.4,43.9,37,XWS,XWS
Williams and Ehleringer (40),Tree,E,A,Fagaceae,Quercus_turbinella,12,,,E,18,,37.33,-113.3,UT USA C,NAm,1340,350.17,64.88,10.8,21,17.88,1921.4,75.5,45.1,31,XWS,XWS
He et al. (41),Tree,E,A,Dipterocarpaceae,Parashorea_chinensis,1,-27.75,-8.13,E,20.18,,21.6,101.58, China B,AS,900,1500,,21.1,24.2,5.21,1114.7,45.9,20,0,EWMF,EWMF
Bai et al. (42),Shrub,E,A,Rhamnaceae,Condalia_hookeri,1,-27.8,-8.13,E,20.23,20.02,27.67,-98.2,TX USA ,NAm,80,687.7,201.68,22.6,29.6,13.38,1588.2,56.8,40.3,1,XWS,XWS
Bai et al. (42),Shrub,E,A,Rutaceae,Zanthoxylum_fagara,1,-27.4,-8.13,E,19.81,,27.67,-98.2,TX USA ,NAm,81,687.7,201.68,22.6,29.6,13.38,1588.2,56.8,40.3,1,XWS,XWS
Uemura et al. (43),Tree,D,A,Fagaceae,Fagus_crenata,1,-27.78,-8.05,E,20.29,19.93,36.97,140.6,Japan C,AS,700,1601,453.66,13.1,21.7,5.67,710.8,41.2,55.9,26,EWMF,EWMF
Uemura et al. (43),Tree,D,A,Fagaceae,Fagus_japonica,1,-27.29,-8.05,E,19.78,,36.97,140.6,Japan C,AS,700,1601,453.66,13.1,21.7,5.67,710.8,41.2,55.9,26,EWMF,EWMF
Uemura et al. (43),Tree,D,A,Betulaceae,Betula_grossa,1,-27.23,-8.05,E,19.72,,36.97,140.6,Japan C,AS,700,1601,453.66,13.1,21.7,5.67,710.8,41.2,55.9,26,EWMF,EWMF
Buchmann et al. (44),Tree,E,G,Pinaceae,Abies_lasiocarpa,3,-24.5,-7.8,E,17.12,17.88,40.65,-110.9,"Broadhead Meadows Uinta Mtns, UT USA ",NAm,2800,979.5,142.71,0.9,10.9,8.94,1009.8,83.5,36,58,CCEF,CCF
Buchmann et al. (44),Tree,E,G,Pinaceae,Pinus_contorta,9,-26.77,-7.8,E,19.49,,40.65,-110.9,"Broadhead Meadows Uinta Mtns, UT USA ",NAm,2800,979.5,142.71,0.9,10.9,8.94,1009.8,83.5,36,58,CCEF,CCF
Buchmann et al. (44),Tree,E,G,Pinaceae,Picea_engelmanii,3,-24.4,-7.8,E,17.02,,40.65,-110.9,"Broadhead Meadows Uinta Mtns, UT USA ",NAm,2800,979.5,142.71,0.9,10.9,8.94,1009.8,83.5,36,58,CCEF,CCF
Buchmann et al. (44),Tree,D,A,Salicaceae,Populus_tremuloides,12,-25.58,-7.8,E,18.25,,40.57,-111.33,"Soapstone Basin Uinta Mtns, UT USA ",NAm,2400,224.14,39.64,4.8,15.1,10.37,1138.6,79,39,56,CCMF,CCF
Buchmann et al. (44),Tree,D,A,Sapindaceae,Acer_grandidentatum,9,-26.03,-7.8,E,18.72,19.41,40.78,-111.47,"Red Butte Canyon, UT USA B",NAm,1700,600.24,93.29,4.8,15.1,10.37,1430,69.6,43.6,46,CCMF,CCF
Buchmann et al. (44),Tree,D,A,Sapindaceae,Acer_negundo,12,-27.35,-7.8,E,20.1,,40.78,-111.47,"Red Butte Canyon, UT USA B",NAm,1700,600.24,93.29,4.8,15.1,10.37,1430,69.6,43.6,46,CCMF,CCF
Lockheart et al. (45),Tree,D,A,Fagaceae,Fagus_sylvatica,1,-26.4,-7.82,E,19.08,20.29,51.6,-2.22,"U.K. Arboretum,  UK ",EU,140,829.92,173.97,10.3,16.3,5.44,713.4,32.5,6.9,13,,
Lockheart et al. (45),Tree,D,A,Fagaceae,Quercus_rober,1,-28.7,-7.82,E,21.5,,51.6,-2.22,"U.K. Arboretum,  UK ",EU,140,829.92,173.97,10.3,16.3,5.44,713.4,32.5,6.9,13,,
Hultine and Marshall (46),Tree,E,G,Pinaceae,Pseudotsuga_menziesii,30,-25.7,-7.88,E,18.29,,44.13,-115.3,ID USA B,NAm,1500,797.68,92.03,3.6,13.2,9.28,1370,72.8,36.7,63,CCEF,CCF
Hultine and Marshall (46),Tree,E,G,Pinaceae,Pinus_contorta,30,-27.4,-7.88,E,20.07,,47.03,-116.1,ID USA C,NAm,1500,1307.59,158.64,8.1,18,10.85,1161.8,72.2,25.6,69,CCEF,CCF
Hultine and Marshall (46),Tree,E,G,Pinaceae,Abies_lasiocarpa,30,-27.3,-7.88,E,19.97,,47,-116.67,MT USA A,NAm,1500,737.23,92.62,9.4,19.3,11.99,1161.1,67.7,19.3,61,CCEF,CCF
Hultine and Marshall (46),Tree,E,G,Pinaceae,Picea_engelmannii,30,-26.1,-7.88,E,18.71,,44.13,-115.3,MT USA B,NAm,1500,797.68,92.03,3.6,13.2,9.28,1370,72.8,36.7,63,CCEF,CCF
Kloeppel et al. (5),Tree,D,G ,Pinaceae,Larix_gmelinii,2,-27.55,-7.9,E,20.21,20.1,30.82,102.98,China C,AS,3000-4000,840.96,444.69,9.5,13,6.18,745.9,33.1,36.7,42,CCEF,CCF
Kloeppel et al. (5),Tree,E,G ,Pinaceae,Picea_sp,3,-27.56,-7.9,E,20.22,,30.82,102.98,China C,AS,3000-4000,840.96,444.69,9.5,13,6.18,745.9,33.1,36.7,42,CCEF,CCF
Kloeppel et al. (5),Tree,D,G ,Pinaceae,Larix_olgenisis,2,-27.82,-7.9,E,20.49,,30.82,102.98,China C,AS,3000-4000,840.96,444.69,9.5,13,6.18,745.9,33.1,36.7,42,CCEF,CCF
Kloeppel et al. (5),Tree,E,G ,Pinaceae,Pinus_sylvestris,2,-26.86,-7.9,E,19.48,,30.82,102.98,China C,AS,3000-4000,840.96,444.69,9.5,13,6.18,745.9,33.1,36.7,42,CCEF,CCF
Nagy and Proctor (47),Tree,E,A,Dipterocarpaceae,Cotylelobium_burckii,6,-31.33,-7.85,E,24.24,23.65,-0.07,114.02,Borneo ,AS,300,3700,,25.7,24.7,5.42,942.1,41.9,100,0,TRF,TRF
Nagy and Proctor (47),Tree,E,A,Dipterocarpaceae,Cotylelobium_melanoxylon,5,-30.84,-7.85,E,23.72,,-0.07,114.02,Borneo ,AS,300,3700,,25.7,24.7,5.42,942.1,41.9,100,0,TRF,TRF
Nagy and Proctor (47),Tree,E,A,Clusiaceae,Cratoxylum_glaucum,4,-31.29,-7.85,E,24.2,,-0.07,114.02,Borneo ,AS,300,3700,,25.7,24.7,5.42,942.1,41.9,100,0,TRF,TRF
Nagy and Proctor (47),Tree,E,A,Myrtaceae,Eugenia_ecostulata,6,-31.06,-7.85,E,23.95,,-0.07,114.02,Borneo ,AS,300,3700,,25.7,24.7,5.42,942.1,41.9,100,0,TRF,TRF
Nagy and Proctor (47),Tree,E,A,Dipterocarpaceae,Shorea_scabrida,6,-29.89,-7.85,E,22.72,,-0.07,114.02,Borneo ,AS,300,3700,,25.7,24.7,5.42,942.1,41.9,100,0,TRF,TRF
Nagy and Proctor (47),Tree,E,A,Anacardiaceae,Swintonia_glauca,5,-30.28,-7.85,E,23.13,,-0.07,114.02,Borneo ,AS,300,3700,,25.7,24.7,5.42,942.1,41.9,100,0,TRF,TRF
Nagy and Proctor (47),Tree,E,A,Myrtaceae,Tristaniopsis_obovata,4,-30.19,-7.85,E,23.04,,-0.07,114.02,Borneo ,AS,300,3700,,25.7,24.7,5.42,942.1,41.9,100,0,TRF,TRF
Nagy and Proctor (47),Tree,E,A,Dipterocarpaceae,Vatica_brunigii,6,-31.03,-7.85,E,23.92,,-0.07,114.02,Borneo ,AS,300,3700,,25.7,24.7,5.42,942.1,41.9,100,0,TRF,TRF
Nagy and Proctor (47),Tree,E,A,Dipterocarpaceae,Cotylelobium_melanoxylon,3,-30.25,-7.85,E,23.1,,-0.07,114.02,Borneo ,AS,300,3700,,25.7,24.7,5.42,942.1,41.9,100,0,TRF,TRF
Nagy and Proctor (47),Tree,E,A,Dipterocarpaceae,Dipterocarpus_eurynchus,3,-30.39,-7.85,E,23.25,,-0.07,114.02,Borneo ,AS,300,3700,,25.7,24.7,5.42,942.1,41.9,100,0,TRF,TRF
Nagy and Proctor (47),Tree,E,A,Dipterocarpaceae,Shorea_amplexicaulis,3,-31.19,-7.85,E,24.09,,-0.07,114.02,Borneo ,AS,300,3700,,25.7,24.7,5.42,942.1,41.9,100,0,TRF,TRF
Nagy and Proctor (47),Tree,E,A,Dipterocarpaceae,Shorea_leprosula,3,-31.6,-7.85,E,24.52,,-0.07,114.02,Borneo ,AS,300,3700,,25.7,24.7,5.42,942.1,41.9,100,0,TRF,TRF
Nagy and Proctor (47),Tree,E,A,Dipterocarpaceae,Shorea_pinanga,2,-29.54,-7.85,E,22.35,,-0.07,114.02,Borneo ,AS,300,3700,,25.7,24.7,5.42,942.1,41.9,100,0,TRF,TRF
Nagy and Proctor (47),Tree,E,A,Dipterocarpaceae,Shorea_rugosa,3,-32.34,-7.85,E,25.31,,-0.07,114.02,Borneo ,AS,300,3700,,25.7,24.7,5.42,942.1,41.9,100,0,TRF,TRF
Nagy and Proctor (47),Tree,E,A,Anacardiaceae,Swintonia_glauca,2,-30.41,-7.85,E,23.27,,-0.07,114.02,Borneo ,AS,300,3700,,25.7,24.7,5.42,942.1,41.9,100,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Caesalpiniaceae,Dicorynia_guianensis,1,-29,-7.93,E,21.7,23.67,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Caesalpiniaceae,Eperua_falcata,1,-28.5,-7.93,E,21.17,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Caesalpiniaceae,Recordoxylon_venosa,1,-28,-7.93,E,20.65,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Caesalpiniaceae,Swartzia_polyphylla,1,-29.2,-7.93,E,21.91,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Caesalpiniaceae,Vouacapoua_americana,1,-32.4,-7.93,E,25.29,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Caryocaraceae,Caryocar_glabrum,1,-29.4,-7.93,E,22.12,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Clusiaceae,Moronobea_coccinea,1,-30.8,-7.93,E,23.6,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Elaeocarpaceae,Sloanea_sp,1,-27.9,-7.93,E,20.54,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Fabaceae,Andira_coriacea,1,-30.8,-7.93,E,23.6,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Lecythidaceae,Couratari_guianensis,1,-30.9,-7.93,E,23.7,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Lecythidaceae,Lecythis_idatimon,1,-31.5,-7.93,E,24.34,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Lecythidaceae,Lecythis_zabucajo,1,-27.7,-7.93,E,20.33,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Mimosaceae,Abarema_jupunba,1,-29.4,-7.93,E,22.12,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Mimosaceae,Balizia_pedicellaris,1,-29.5,-7.93,E,22.23,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Mimosaceae,Inga_alba,1,-32.4,-7.93,E,25.29,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Mimosaceae,Parkia_nitida,1,-31.5,-7.93,E,24.34,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Moraceae,Brosimum_acutifolium,1,-31.6,-7.93,E,24.44,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Sapotaceae,Chrysophyllum_prieurii,1,-29.7,-7.93,E,22.44,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Sapotaceae,Pradosia_cochlearia,1,-30.6,-7.93,E,23.39,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Tiliaceae,Lueheopsis_rugosa,1,-32.7,-7.93,E,25.61,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Vocysiaceae,Ruizterania_albiflora,1,-28.9,-7.93,E,21.59,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Annonaceae,Xylopia_sp,1,-32.5,-7.93,E,25.4,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Bignoniaceae,Jacaranda_copaia,1,-31.6,-7.93,E,24.44,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Burseraceae,Protium_sp,1,-31.7,-7.93,E,24.55,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Caesalpiniaceae,Bocoa_prouacensis,1,-31.8,-7.93,E,24.65,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Caesalpiniaceae,Eperua_grandiflora,1,-28.9,-7.93,E,21.59,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Caesalpiniaceae,Sclerolobium_melinonii,1,-30,-7.93,E,22.75,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Celastraceae,Goupia_glabra,1,-29.9,-7.93,E,22.65,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Chrysobalanaceae,Licania_alba,1,-32.1,-7.93,E,24.97,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Chrysobalanaceae,Licania_membranacea,1,-32,-7.93,E,24.87,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Chrysobalanaceae,Licania_ovalifolia,1,-31.8,-7.93,E,24.65,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Chrysobalanaceae,Parinari_sp,1,-31.5,-7.93,E,24.34,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Chrysobalanaceae,Parinari_montana,1,-29.8,-7.93,E,22.54,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Clusiaceae,Symphonia_sp,1,-30.1,-7.93,E,22.86,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Clusiaceae,Tovomita_sp,1,-32.5,-7.93,E,25.4,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Elaeocarpaceae,Chaetocarpus_schomburg,1,-31.3,-7.93,E,24.13,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Elaeocarpaceae,Drypetes_variabilis,1,-31,-7.93,E,23.81,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Fabaceae,Diplotropis_purpurea,1,-30.7,-7.93,E,23.49,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Hugoniaceae,Hebepetalum_humiriifoli,1,-31.8,-7.93,E,24.65,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Icacinaceae,Dendrobangia_boliviana,1,-31.1,-7.93,E,23.91,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Lauraceae,Ocotea_rubra,1,-31.9,-7.93,E,24.76,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Lecythidaceae,Eschweilera_sp,1,-31,-7.93,E,23.81,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Lecythidaceae,Gustavia_hexapetala,1,-32,-7.93,E,24.87,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Melastomataceae,Mouriri_crassifolia,1,-30.9,-7.93,E,23.7,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Meliaceae,Carapa_procera,1,-29.2,-7.93,E,21.91,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Meliaceae,Trichilia_sp,1,-30.8,-7.93,E,23.6,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Moraceae,Brosimum_rubescens,1,-31.1,-7.93,E,23.91,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Moraceae,Helicostylis_pedonculata,1,-30.3,-7.93,E,23.07,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Myristicaceae,Iryanthera_sagotiana,1,-33.2,-7.93,E,26.14,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Myristicaceae,Iryanthera_hostmanii,1,-32.4,-7.93,E,25.29,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Olacaceae,Minquartia_guianensis,1,-32.4,-7.93,E,25.29,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Rubiaceae,Posoqueria_latifolia,1,-32.7,-7.93,E,25.61,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Sapotaceae,Chrysophyllum_sanguino,1,-30.3,-7.93,E,23.07,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Sapotaceae,Micropholis_guianensisa,1,-31.4,-7.93,E,24.23,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Sapotaceae,Micropholis_obscura,1,-30.8,-7.93,E,23.6,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Simaroubaceae,Simaba_cedron,1,-31.6,-7.93,E,24.44,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,,A,Boraginaceae,Cordia_sp,1,-33.1,-7.93,E,26.03,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,,A,Chrysobalanaceae,Licania_sp2,1,-32.5,-7.93,E,25.4,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,,A,Chrysobalanaceae,Licania_sp1,1,-30.6,-7.93,E,23.39,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,,A,Lecythidaceae,Lecythis_hartacea,1,-30.8,-7.93,E,23.6,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,,A,Mimosaceae,Inga_thibaudiana,1,-29.7,-7.93,E,22.44,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
