reference,growthform,leafhabit,phylogeny,Family,Species,treesmeasured,delta13C,delta13Cair,delta13CairA,deltaleaf,locationmean,latitudeE,longitudeN,location,continent,altitude,MAP,P-JJA,MAT,T-JJA,VPD,PET,percentsun,Continentality,frostfreedays,BiomeK,BiomeL
Bonal et al. (48),Tree,,A,Sterculiaceae,Sterculia_sp,1,-30.8,-7.93,E,23.6,,5.33,-52.83,"Paracou, French Guia",SA,40,2900,,26.6,26.6,4.73,1117,50.4,7.1,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Bombacaeae,Catostemma_fragrans,1,-30.4,-7.93,E,23.17,23.35,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Caesalpiniaceae,Dicorynia_guianensis,1,-28.6,-7.93,E,21.28,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Caesalpiniaceae,Eperua_falcata,1,-28.6,-7.93,E,21.28,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Caesalpiniaceae,Peltogyne_venosa,1,-29.7,-7.93,E,22.44,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Caesalpiniaceae,Swartzia_polyphylla,1,-28.4,-7.93,E,21.07,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Caesalpiniaceae,Vouacapoua_americana,1,-30.7,-7.93,E,23.49,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Clusiaceae,Moronobea_coccinea,1,-30.3,-7.93,E,23.07,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Elaeocarpaceae,Glycydendron_amazoni,1,-30.8,-7.93,E,23.6,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Lecythidaceae,Lecythis_idatimon,1,-31.4,-7.93,E,24.23,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Mimosaceae,Abarema_jupunba,1,-29.4,-7.93,E,22.12,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Mimosaceae,Abarema_curvicarpa,1,-29.2,-7.93,E,21.91,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Mimosaceae,Balizia_pedicellaris,1,-28.3,-7.93,E,20.96,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Mimosaceae,Pseudopiptadenia_suaveol,1,-29,-7.93,E,21.7,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Anacardiaceae,Thyrsodium_guianense,1,-30.2,-7.93,E,22.96,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Burseraceae,Protium_subserratum,1,-31.1,-7.93,E,23.91,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Burseraceae,Tetragastris_panamensis,1,-28.7,-7.93,E,21.38,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Caesalpiniaceae,Bocoa_prouacensis,1,-29.7,-7.93,E,22.44,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Caesalpiniaceae,Eperua_grandiflora,1,-29.5,-7.93,E,22.23,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Caesalpiniaceae,Sclerolobium_albiflorum,1,-30,-7.93,E,22.75,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Caesalpiniaceae,Sclerolobium_melinonii,1,-28.6,-7.93,E,21.28,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Chrysobalanaceae,Couepia_caryophylloides,1,-30.7,-7.93,E,23.49,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Chrysobalanaceae,Licania_membranacea,1,-32,-7.93,E,24.87,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Chrysobalanaceae,Licania_alba,1,-31.6,-7.93,E,24.44,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Clusiaceae,Symphonia_sp,1,-30.2,-7.93,E,22.96,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Elaeocarpaceae,Chaetocarpus_schomburg,1,-33.8,-7.93,E,26.77,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Fabaceae,Diplotropis_purpurea,1,-31.2,-7.93,E,24.02,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Humiriaceae,Humiriastrum_subcrenat,1,-34.8,-7.93,E,27.84,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Humiriaceae,Vantanea_parviflora,1,-30.1,-7.93,E,22.86,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Icacinaceae,Dendrobangia_boliviana,1,-31.5,-7.93,E,24.34,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Icacinaceae,Poraqueiba_guianensis,1,-32.9,-7.93,E,25.82,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Lauraceae,Ocotea_rubra,1,-29.1,-7.93,E,21.8,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Lecythidaceae,Eschweilera_sagotiana,1,-32.2,-7.93,E,25.08,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Lecythidaceae,Eschweilera_micrantha,1,-31.8,-7.93,E,24.65,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Lecythidaceae,Eschweilera_decolorans,1,-31.1,-7.93,E,23.91,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Lecythidaceae,Eschweilera_parviflora,1,-30.7,-7.93,E,23.49,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Lecythidaceae,Lecythis_persistens,1,-30.7,-7.93,E,23.49,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Melastomataceae,Mouriri_crassifolia,1,-29.4,-7.93,E,22.12,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Meliaceae,Carapa_procera,1,-31.1,-7.93,E,23.91,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Moraceae,Brosimum_guianense,1,-29.6,-7.93,E,22.33,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Myristicaceae,Iryanthera_sagotiana,1,-32.6,-7.93,E,25.5,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Myristicaceae,Virola_michelii,1,-31.7,-7.93,E,24.55,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Rubiaceae,Posoqueria_latifolia,1,-32.7,-7.93,E,25.61,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Sapotaceae,Micropholis_obscura,1,-31,-7.93,E,23.81,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Sapotaceae,Pouteria_guianensis,1,-32.8,-7.93,E,25.71,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,,A,Mimosaceae,Inga_paraensis,1,-28.3,-7.93,E,20.96,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,,A,Sapotaceae,Ecclinusa_guianensis,1,-29.9,-7.93,E,22.65,,5.3,-53.5,"St-Elie DVD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Apocynaceae,Couma_guianensis,1,-28.9,-7.93,E,21.59,23.17,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Bombacaeae,Catostemma_fragrans,1,-31.4,-7.93,E,24.23,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Caesalpiniaceae,Dicorynia_guianensis,1,-28,-7.93,E,20.65,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Caesalpiniaceae,Eperua_falcata,1,-28.3,-7.93,E,20.96,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Caesalpiniaceae,Peltogyne_venosa,1,-27.9,-7.93,E,20.54,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Caesalpiniaceae,Vouacapoua_americana,1,-31.1,-7.93,E,23.91,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Caryocaraceae,Caryocar_glabrum,1,-29.4,-7.93,E,22.12,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Clusiaceae,Platonia_insignis,1,-28,-7.93,E,20.65,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Elaeocarpaceae,Hevea_guianensis,1,-29.2,-7.93,E,21.91,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Lecythidaceae,Lecythis_idatimon,1,-32,-7.93,E,24.87,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Mimosaceae,Abarema_jupunba,1,-29.1,-7.93,E,21.8,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Mimosaceae,Balizia_pedicellaris,1,-27.5,-7.93,E,20.12,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Mimosaceae,Parkia_nitida,1,-31.3,-7.93,E,24.13,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Sapotaceae,Chrysophyllum_prieurii,1,-30,-7.93,E,22.75,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,D,A,Vocysiaceae,Ruizterania_albiflora,1,-28.2,-7.93,E,20.86,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Araliaceae,Schefflera_decaphylla,1,-30.2,-7.93,E,22.96,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Burseraceae,Dacryodes_nitens,1,-31.7,-7.93,E,24.55,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Caesalpiniaceae,Bocoa_prouacensis,1,-30.7,-7.93,E,23.49,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Caesalpiniaceae,Eperua_grandiflora,1,-28.9,-7.93,E,21.59,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Caesalpiniaceae,Sclerolobium_melinonii,1,-30.1,-7.93,E,22.86,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Celastraceae,Goupia_glabra,1,-30,-7.93,E,22.75,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Chrysobalanaceae,Couepia_guianensis,1,-31.7,-7.93,E,24.55,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Chrysobalanaceae,Couepia_caryophylloides,1,-29.6,-7.93,E,22.33,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Chrysobalanaceae,Licania_membranacea,1,-33.4,-7.93,E,26.35,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Chrysobalanaceae,Licania_alba,1,-31.5,-7.93,E,24.34,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Chrysobalanaceae,Licania_granvillei,1,-31,-7.93,E,23.81,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Chrysobalanaceae,Parinari_excelsa,1,-30.8,-7.93,E,23.6,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Clusiaceae,Symphonia_sp,1,-30.4,-7.93,E,23.17,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Elaeocarpaceae,Amanoa_congesta,1,-28.4,-7.93,E,21.07,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Elaeocarpaceae,Chaetocarpus_schomburg,1,-31.9,-7.93,E,24.76,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Flacourtiaceae,Laetia_procera,1,-31.3,-7.93,E,24.13,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Humiriaceae,Humiriastrum_subcrenat,1,-32.7,-7.93,E,25.61,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Humiriaceae,Vantanea_parviflora,1,-31.3,-7.93,E,24.13,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Icacinaceae,Dendrobangia_boliviana,1,-31.1,-7.93,E,23.91,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Lecythidaceae,Eschweilera_parviflora,1,-33.2,-7.93,E,26.14,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Lecythidaceae,Eschweilera_sagotiana,1,-31.3,-7.93,E,24.13,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Lecythidaceae,Eschweilera_micrantha,1,-31.3,-7.93,E,24.13,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Lecythidaceae,Eschweilera_coriacea,1,-31.1,-7.93,E,23.91,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Lecythidaceae,Eschweilera_decolorans,1,-29.8,-7.93,E,22.54,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Lecythidaceae,Lecythis_persistens,1,-32.1,-7.93,E,24.97,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Melastomataceae,Mouriri_crassifolia,1,-30.9,-7.93,E,23.7,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Meliaceae,Carapa_procera,1,-29.3,-7.93,E,22.02,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Myristicaceae,Iryanthera_sagotiana,1,-32.2,-7.93,E,25.08,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Myristicaceae,Iryanthera_hostmanii,1,-32,-7.93,E,24.87,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Myristicaceae,Virola_michelii,1,-31.2,-7.93,E,24.02,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Olacaceae,Minquartia_guianensis,1,-29.2,-7.93,E,21.91,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Rubiaceae,Posoqueria_latifolia,1,-28.9,-7.93,E,21.59,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Sapotaceae,Chrysophyllum_sanguino,1,-29.4,-7.93,E,22.12,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Sapotaceae,Micropholis_guianensisa,1,-32.4,-7.93,E,25.29,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Sapotaceae,Micropholis_venulosa,1,-30.6,-7.93,E,23.39,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Sapotaceae,Micropholis_guianensisa,1,-29.4,-7.93,E,22.12,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Sapotaceae,Pouteria_grandis,1,-30.4,-7.93,E,23.17,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Sapotaceae,Pouteria_melanopoda,1,-29.1,-7.93,E,21.8,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,E,A,Sapotaceae,Pouteria_eugeniifolia,1,-28.8,-7.93,E,21.49,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
Bonal et al. (48),Tree,,A,Chrysobalanaceae,Licania_glabriflora,1,-32.1,-7.93,E,24.97,,5.3,-53.5,"St-Elie SLD, French Guia",SA,80,3000,,26.2,26.2,7.82,1138.9,50.8,16.4,0,TRF,TRF
"Wing and Koch, this study",Tree,E,A,Ericaceae,Arbutus_menziesii,3,-27.05,-7.93,E,19.65,20.59,37.01,-122.06,"Santa Cruz, CA USA",NAm,297,1089.6,12.2,14.5,17.8,5.99,1390.4,79.3,6.1,6,MED,MED
"Wing and Koch, this study",Tree,E,A,Fagaceae,Quercus_agrifolia,3,-27.46,-7.93,E,20.08,,37.01,-122.06,"Santa Cruz, CA USA",NAm,297,1089.6,12.2,14.5,17.8,5.99,1390.4,79.3,6.1,6,MED,MED
"Wing and Koch, this study",Tree,E,A,Lauraceae,Umbellularia_californica,2,-27.15,-7.93,E,19.76,,37.01,-122.06,"Santa Cruz, CA USA",NAm,297,1089.6,12.2,14.5,17.8,5.99,1390.4,79.3,6.1,6,MED,MED
"Wing and Koch, this study",Shrub,E,A,Ericaceae,Vaccinium_ovatum,1,-28.22,-7.93,E,20.88,,37.01,-122.06,"Santa Cruz, CA USA",NAm,297,1089.6,12.2,14.5,17.8,5.99,1390.4,79.3,6.1,6,MED,MED
"Wing and Koch, this study",Shrub,D,A,Betulaceae,Corylus_californica,3,-29.84,-7.93,E,22.58,,37.01,-122.06,"Santa Cruz, CA USA",NAm,297,1089.6,12.2,14.5,17.8,5.99,1390.4,79.3,6.1,6,MED,MED
